midiPitch 	 onsetSec 	 durationSec 	 onsetBeats 	 onsetBarIndex 	 onsetBar 	 durationBeats 	 velocity  	 numerator 	 denominator 
53	0.824308	0.0406349	0	0	0	0	1	4	4
52	0.864943	0.516644	0	0	0	0	1	4	4
56	1.79374	0.20898	0	0	0	0	1	4	4
58	2.80381	0.1161	0	0	0	0	1	4	4
55	2.96054	0.0638549	0	0	0	0	1	4	4
54	3.0244	0.0348299	0	0	0	0	1	4	4
54	3.06503	0.0696599	0	0	0	0	1	4	4
55	3.22177	0.243809	0	0	0	0	1	4	4
52	3.66295	0.290249	0	0	0	0	1	4	4
53	3.96481	0.330884	0	0	0	0	1	4	4
47	4.41179	0.325079	0	0	0	0	1	4	4
54	6.57705	0.0290251	0	0	0	0	1	4	4
52	6.84408	0.0232201	0	0	0	0	1	4	4
53	6.87311	0.19737	0	0	0	0	1	4	4
55	7.52327	0.18576	0	0	0	0	1	4	4
56	8.19664	0.17415	0	0	0	0	1	4	4
55	8.57397	0.261225	0	0	0	0	1	4	4
58	11.2675	0.20898	0	0	0	0	1	4	4
59	11.6796	0.336689	0	0	0	0	1	4	4
59	12.0163	0.0812702	0	0	0	0	1	4	4
60	12.3298	0.272835	0	0	0	0	1	4	4
57	12.6839	0.249615	0	0	0	0	1	4	4
59	15.4297	0.0812693	0	0	0	0	1	4	4
59	15.778	0.203175	0	0	0	0	1	4	4
60	16.0392	0.10449	0	0	0	0	1	4	4
60	16.1437	0.10449	0	0	0	0	1	4	4
60	16.4455	0.029026	0	0	0	0	1	4	4
62	16.4804	0.255421	0	0	0	0	1	4	4
60	16.7938	0.319273	0	0	0	0	1	4	4
58	17.444	0.16254	0	0	0	0	1	4	4
55	19.5686	0.0812702	0	0	0	0	1	4	4
55	19.8937	0.441179	0	0	0	0	1	4	4
53	20.6367	0.226395	0	0	0	0	1	4	4
52	20.8805	0.354103	0	0	0	0	1	4	4
