midiPitch 	 onsetSec 	 durationSec 	 onsetBeats 	 onsetBarIndex 	 onsetBar 	 durationBeats 	 velocity  	 numerator 	 denominator 
62	2.80381	0.0464399	0	0	0	0	1	4	4
61	3.04762	1.35837	0	0	0	0	1	4	4
59	4.40599	0.19737	0	0	0	0	1	4	4
59	4.60336	0.19737	0	0	0	0	1	4	4
55	4.92263	0.284444	0	0	0	0	1	4	4
64	5.52635	0.325079	0	0	0	0	1	4	4
0	5.85143	0.156734	0	0	0	0	1	4	4
58	6.06041	0.12771	0	0	0	0	1	4	4
58	6.36807	0.243809	0	0	0	0	1	4	4
59	6.61188	0.110295	0	0	0	0	1	4	4
58	6.84989	0.1161	0	0	0	0	1	4	4
59	6.96599	0.708209	0	0	0	0	1	4	4
61	10.8031	0.0696602	0	0	0	0	1	4	4
61	10.8727	0.0464401	0	0	0	0	1	4	4
60	11.0179	0.0928802	0	0	0	0	1	4	4
61	11.1107	0.20898	0	0	0	0	1	4	4
60	11.5229	0.139319	0	0	0	0	1	4	4
61	11.6622	0.359909	0	0	0	0	1	4	4
61	12.0221	0.10449	0	0	0	0	1	4	4
64	12.144	0.133514	0	0	0	0	1	4	4
60	12.4343	0.522449	0	0	0	0	1	4	4
59	12.9567	0.325079	0	0	0	0	1	4	4
56	13.5837	0.238005	0	0	0	0	1	4	4
54	14.0597	0.19737	0	0	0	0	1	4	4
60	17.8503	0.13932	0	0	0	0	1	4	4
61	18.2857	0.255421	0	0	0	0	1	4	4
60	18.5411	0.174149	0	0	0	0	1	4	4
61	18.7153	0.336691	0	0	0	0	1	4	4
62	19.2842	0.226395	0	0	0	0	1	4	4
64	19.5106	0.383129	0	0	0	0	1	4	4
62447976	20.1956	0.296055	0	0	0	0	1	4	4
59	20.4916	0.365715	0	0	0	0	1	4	4
56	21.9371	0.60372	0	0	0	0	1	4	4
77	27.5215	0.029026	0	0	0	0	1	4	4
77	27.5505	0.0348301	0	0	0	0	1	4	4
77	27.5911	0.17415	0	0	0	0	1	4	4
